Filial;Placa_Veiculo;Descricao_POI;Grupo_POI;Data_Entrada;Data_Saida;Status;Duracao
RRP;SMG5F48;Agua Clara;Parada Operacional;07/08/2025 09:24;07/08/2025 09:35;Saiu da cerca;0.18
RRP;SMG5F48;Descarga Inocencia;Não Mapeado;07/08/2025 11:56;07/08/2025 12:01;Saiu da cerca;0.08
RRP;SMG6H57;Abastecimento Frotas RRP;Parada Operacional;07/08/2025 07:45;07/08/2025 08:37;Saiu da cerca;0.86
RRP;SMG6H57;Pro LOG;Não Mapeado;07/08/2025 08:35;07/08/2025 08:37;Saiu da cerca;0.02
RRP;SMG6H57;Buffer frotas ;Parada Operacional;07/08/2025 08:37;07/08/2025 09:10;Saiu da cerca;0.56
RRP;SMG6H57;Fábrica;Fábrica;07/08/2025 09:12;07/08/2025 10:07;Saiu da cerca;0.92
RRP;SMG6H57;Carregamento;Carregamento;07/08/2025 09:12;07/08/2025 09:42;Saiu da cerca;0.5
RRP;SMG6H57;Enlonamento RRP;Parada Operacional;07/08/2025 09:12;07/08/2025 09:16;Saiu da cerca;0.07
RRP;SMG6H57;Buffer frotas ;Parada Operacional;07/08/2025 10:09;07/08/2025 10:34;Saiu da cerca;0.41
RRP;SMG6H57;Agua Clara;Parada Operacional;07/08/2025 11:53;07/08/2025 12:02;Saiu da cerca;0.15
RRP;SMG9B17;Carregamento Fabrica RRP;Fábrica;07/08/2025 07:52;07/08/2025 08:10;Saiu da cerca;0.29
RRP;SMG9B17;Enlonamento RRP;Parada Operacional;07/08/2025 07:52;07/08/2025 08:10;Saiu da cerca;0.29
